afac_city,afac_country,airport_iata,match_method,city_spread_km
DUBAI,Emiratos Arabes,DXB,city_exact,24.8
DUBAI,Emiratos Arabes,NHD,city_exact,24.8
JEBEL ALI,Emiratos Arabes,DWC,override_airport,0.0
"BARCELONA, España",España,BCN,override_city,0.0
MADRID,España,MAD,city_exact,9.8
MADRID,España,TOJ,city_exact,9.8
"ZARAGOZA, ES",España,ZAZ,override_city,0.0
ATLANTA,Estados Unidos,ATL,city_exact,29.1
ATLANTA,Estados Unidos,FTY,city_exact,29.1
ATLANTA,Estados Unidos,PDK,city_exact,29.1
AUSTIN,Estados Unidos,AUS,city_exact,0.0
BALTIMORE,Estados Unidos,BWI,city_exact,27.6
BALTIMORE,Estados Unidos,MTN,city_exact,27.6
BOSTON,Estados Unidos,BOS,city_exact,0.0
BROWNSVILLE,Estados Unidos,BRO,city_exact,0.0
CHARLOTTE,Estados Unidos,CLT,city_exact,0.0
CHICAGO,Estados Unidos,MDW,city_exact,24.9
CHICAGO,Estados Unidos,ORD,city_exact,24.9
CLEVELAND,Estados Unidos,BKL,city_exact,34.7
CLEVELAND,Estados Unidos,CGF,city_exact,34.7
CLEVELAND,Estados Unidos,CLE,city_exact,34.7
COLORADO SPRINGS,Estados Unidos,COS,city_exact,0.0
"COLUMBUS, Ohio",Estados Unidos,CMH,override_airport,20.7
"COLUMBUS, Ohio",Estados Unidos,LCK,override_airport,20.7
COVINGTON,Estados Unidos,CVG,override_airport,0.0
"Charleston, Sur de Carolina",Estados Unidos,CHS,override_airport,0.0
DALLAS-FORT WORTH,Estados Unidos,DAL,override_airport,18.7
DALLAS-FORT WORTH,Estados Unidos,DFW,override_airport,18.7
DENVER,Estados Unidos,APA,city_exact,44.1
DENVER,Estados Unidos,BJC,city_exact,44.1
DENVER,Estados Unidos,DEN,city_exact,44.1
DETROIT,Estados Unidos,DET,city_exact,46.8
DETROIT,Estados Unidos,DTW,city_exact,46.8
DETROIT,Estados Unidos,YIP,city_exact,46.8
FORT LAUDERDALE,Estados Unidos,FLL,city_exact,14.0
FORT LAUDERDALE,Estados Unidos,FXE,city_exact,14.0
FRESNO,Estados Unidos,FAT,city_exact,0.0
HARLINGEN TEXAS,Estados Unidos,HRL,override_city,0.0
HOUSTON,Estados Unidos,CXO,city_exact,86.4
HOUSTON,Estados Unidos,EFD,city_exact,86.4
HOUSTON,Estados Unidos,HOU,city_exact,86.4
HOUSTON,Estados Unidos,IAH,city_exact,86.4
HOUSTON,Estados Unidos,SGR,city_exact,86.4
INDIANAPOLIS,Estados Unidos,IND,city_exact,0.0
KANSAS CITY,Estados Unidos,MCI,city_exact,22.4
KANSAS CITY,Estados Unidos,MKC,city_exact,22.4
LAREDO,Estados Unidos,LRD,city_exact,0.0
LAS VEGAS,Estados Unidos,LAS,city_exact,20.0
LAS VEGAS,Estados Unidos,LSV,city_exact,20.0
LAS VEGAS,Estados Unidos,VGT,city_exact,20.0
LOS ANGELES,Estados Unidos,LAX,city_exact,0.0
"LOUISVILLE, KENTUCKY",Estados Unidos,LOU,override_city,8.9
"LOUISVILLE, KENTUCKY",Estados Unidos,SDF,override_city,8.9
