carrier_identity,airline_id,unique_carrier,unique_carrier_name,unique_carrier_entity,carrier,carrier_name,carrier_key
AIRLINE_ID_20408,20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,06860,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,BTS_AIRLINE_ID_20408
AIRLINE_ID_20408,20408,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,11062,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,BTS_AIRLINE_ID_20408
AIRLINE_ID_20409,20409,B6,JetBlue Airways,16673,B6,JetBlue Airways,BTS_AIRLINE_ID_20409
AIRLINE_ID_20416,20416,NK,Spirit Air Lines,16831,NK,Spirit Air Lines,BTS_AIRLINE_ID_20416
AIRLINE_ID_20422,20422,SY,Sun Country Airlines d/b/a MN Airlines,06795,SY,Sun Country Airlines d/b/a MN Airlines,BTS_AIRLINE_ID_20422
AIRLINE_ID_20422,20422,SY,Sun Country Airlines d/b/a MN Airlines,16795,SY,Sun Country Airlines d/b/a MN Airlines,BTS_AIRLINE_ID_20422
AIRLINE_ID_20428,20428,VIQ,Volga-Dnepr Airlines,9475B,VIQ,Volga-Dnepr Airlines,BTS_AIRLINE_ID_20428
AIRLINE_ID_20436,20436,F9,Frontier Airlines Inc.,16461,F9,Frontier Airlines Inc.,BTS_AIRLINE_ID_20436
AIRLINE_ID_20445,20445,C5,CommuteAir LLC dba CommuteAir,06944,C5,CommuteAir LLC dba CommuteAir,BTS_AIRLINE_ID_20445
AIRLINE_ID_20445,20445,C5,CommuteAir LLC dba CommuteAir,11059,C5,"Commutair Aka Champlain Enterprises, Inc.",BTS_AIRLINE_ID_20445
AIRLINE_ID_20445,20445,C5,CommuteAir LLC dba CommuteAir,11059,C5,CommuteAir LLC dba CommuteAir,BTS_AIRLINE_ID_20445
AIRLINE_ID_20446,20446,M7,Aerotransportes Mas De Crga,9148I,M7,Aerotransportes Mas De Crga,BTS_AIRLINE_ID_20446
AIRLINE_ID_20447,20447,U7,USA Jet Airlines Inc.,06912,U7,USA Jet Airlines Inc.,BTS_AIRLINE_ID_20447
AIRLINE_ID_20447,20447,U7,USA Jet Airlines Inc.,16917,U7,USA Jet Airlines Inc.,BTS_AIRLINE_ID_20447
AIRLINE_ID_20452,20452,YX,Republic Airline,11029,YX,Republic Airline,BTS_AIRLINE_ID_20452
AIRLINE_ID_20452,20452,YX,Republic Airline,11029,YX,Republic Airlines,BTS_AIRLINE_ID_20452
AIRLINE_ID_20453,20453,ABX,ABX Air Inc,11009,ABX,ABX Air Inc,BTS_AIRLINE_ID_20453
AIRLINE_ID_20453,20453,ABX,ABX Air Inc,11018,ABX,ABX Air Inc,BTS_AIRLINE_ID_20453
AIRLINE_ID_20453,20453,ABX,ABX Air Inc,80006,ABX,ABX Air Inc,BTS_AIRLINE_ID_20453
AIRLINE_ID_21035,21035,TIQ,Tyrolean Jet Service,71002,TIQ,Tyrolean Jet Service,BTS_AIRLINE_ID_21035
AIRLINE_ID_21040,21040,02Q,Titan Airways,71004,02Q,Titan Airways,BTS_AIRLINE_ID_21040
AIRLINE_ID_21061,21061,6R,Aerounion Aerotransporte de Carga Union SA de CV,71006,6R,Aerounion Aerotransporte de Carga Union SA de CV,BTS_AIRLINE_ID_21061
AIRLINE_ID_21080,21080,TJ,Tradewind Aviation,01126,04Q,Tradewind Aviation,BTS_AIRLINE_ID_21080
AIRLINE_ID_21136,21136,07Q,Flair Airlines Ltd.,71022,07Q,Flair Airlines Ltd.,BTS_AIRLINE_ID_21136
AIRLINE_ID_21147,21147,0Q,Flying Service N.V.,71025,0Q,Flying Service N.V.,BTS_AIRLINE_ID_21147
AIRLINE_ID_21160,21160,SVW,"Global Jet Luxembourg, Sa",71031,SVW,"Global Jet Luxembourg, Sa",BTS_AIRLINE_ID_21160
AIRLINE_ID_21161,21161,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",01130,09Q,"Swift Air, LLC",BTS_AIRLINE_ID_21161
AIRLINE_ID_21161,21161,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",01130,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BTS_AIRLINE_ID_21161
AIRLINE_ID_21161,21161,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11054,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",BTS_AIRLINE_ID_21161
AIRLINE_ID_21167,21167,CP (2),Compass Airlines,11015,CP,Compass Airlines,BTS_AIRLINE_ID_21167
AIRLINE_ID_21171,21171,VX,Virgin America,11020,VX,Virgin America,BTS_AIRLINE_ID_21171
AIRLINE_ID_21186,21186,0BQ,DCA,71033,0BQ,DCA,BTS_AIRLINE_ID_21186
AIRLINE_ID_21196,21196,0CQ,ACM AIR CHARTER GmbH,71035,0CQ,ACM AIR CHARTER GmbH,BTS_AIRLINE_ID_21196
AIRLINE_ID_21202,21202,CAZ,CAT Aviation,71037,CAZ,CAT Aviation,BTS_AIRLINE_ID_21202
AIRLINE_ID_21231,21231,WG,Sunwing Airlines Inc.,71041,WG,Sunwing Airlines Inc.,BTS_AIRLINE_ID_21231
AIRLINE_ID_21308,21308,0QQ,TAG Aviation (UK) Ltd.,71062,0QQ,TAG Aviation (UK) Ltd.,BTS_AIRLINE_ID_21308
AIRLINE_ID_21309,21309,0RQ,TAG Aviation Espana S.L.,71063,0RQ,TAG Aviation Espana S.L.,BTS_AIRLINE_ID_21309
AIRLINE_ID_21331,21331,0UQ,"Comlux Malta, Ltd.",71069,0UQ,"Comlux Malta, Ltd.",BTS_AIRLINE_ID_21331
AIRLINE_ID_21352,21352,0WQ,Avjet Corporation,01150,0WQ,Avjet Corporation,BTS_AIRLINE_ID_21352
AIRLINE_ID_21376,21376,L7,Lan Colombia,71078,L7,Lan Colombia,BTS_AIRLINE_ID_21376
AIRLINE_ID_21406,21406,CRV,Acropolis Aviation Ltd.,71083,CRV,Acropolis Aviation Ltd.,BTS_AIRLINE_ID_21406
AIRLINE_ID_21407,21407,10Q,Swiss Air Ambulance,71084,10Q,Swiss Air Ambulance,BTS_AIRLINE_ID_21407
AIRLINE_ID_21411,21411,7I,Insel Air International B V,71085,7I,Insel Air International B V,BTS_AIRLINE_ID_21411
AIRLINE_ID_21421,21421,PP,Jet Aviation Business Jets AG,71087,PP,Jet Aviation Business Jets AG,BTS_AIRLINE_ID_21421
AIRLINE_ID_21427,21427,3S,AeroLogic GmbH,71090,3S,AeroLogic GmbH,BTS_AIRLINE_ID_21427
AIRLINE_ID_21437,21437,13Q,Chartright Air Inc.,71093,13Q,Chartright Air Inc.,BTS_AIRLINE_ID_21437
AIRLINE_ID_21439,21439,14Q,London Air Services Limited,71095,14Q,London Air Services Limited,BTS_AIRLINE_ID_21439
AIRLINE_ID_21440,21440,15Q,Air Alsie A/S,71096,15Q,Air Alsie A/S,BTS_AIRLINE_ID_21440
AIRLINE_ID_21487,21487,RU,AirBridgeCargo Airlines Limited,71102,RU,AirBridgeCargo Airlines Limited,BTS_AIRLINE_ID_21487
AIRLINE_ID_21492,21492,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",01159,1BQ,"Dynamic Airways, LLC",BTS_AIRLINE_ID_21492
AIRLINE_ID_21492,21492,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",11019,1BQ,"Dynamic Airways, LLC",BTS_AIRLINE_ID_21492
AIRLINE_ID_21492,21492,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",11019,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",BTS_AIRLINE_ID_21492
AIRLINE_ID_21518,21518,1EQ,"KaiserAir, Inc.",01162,1EQ,"KaiserAir, Inc.",BTS_AIRLINE_ID_21518
AIRLINE_ID_21528,21528,VW,Transportes Aeromar S.A de C.V,71106,VW,Transportes Aeromar S.A de C.V,BTS_AIRLINE_ID_21528
AIRLINE_ID_21548,21548,1HQ,International Jet Management GmbH,71109,1HQ,International Jet Management GmbH,BTS_AIRLINE_ID_21548
AIRLINE_ID_21568,21568,VJT,VistaJet Limited,71123,VJT,VistaJet Limited,BTS_AIRLINE_ID_21568
AIRLINE_ID_21569,21569,LDM,Laudamotion GmbH,71124,LDM,Laudamotion GmbH,BTS_AIRLINE_ID_21569
AIRLINE_ID_21578,21578,4O,ABC Aerolineas SA de CV dba Interjet,71118,4O,ABC Aerolineas SA de CV dba Interjet,BTS_AIRLINE_ID_21578
AIRLINE_ID_21579,21579,DY,Norwegian Air Shuttle ASA,71127,DY,Norwegian Air Shuttle ASA,BTS_AIRLINE_ID_21579
AIRLINE_ID_21580,21580,C8,Cargolux Italia SpA,71128,C8,Cargolux Italia SpA,BTS_AIRLINE_ID_21580
AIRLINE_ID_21594,21594,I4,Scott Air LLC dba Island Air Express,01175,I4,Scott Air LLC dba Island Air Express,BTS_AIRLINE_ID_21594
AIRLINE_ID_21605,21605,G3,VRG Linhas Aereas S A,71136,G3,VRG Linhas Aereas S A,BTS_AIRLINE_ID_21605
AIRLINE_ID_21610,21610,RV,Air Canada rouge LP,71139,RV,Air Canada rouge LP,BTS_AIRLINE_ID_21610
AIRLINE_ID_21629,21629,KD,Western Global,11042,KD,Western Global,BTS_AIRLINE_ID_21629
AIRLINE_ID_21630,21630,1ZQ,Comlux Aruba NV,71144,1ZQ,Comlux Aruba NV,BTS_AIRLINE_ID_21630
AIRLINE_ID_21631,21631,20Q,Orange Air,01184,20Q,Orange Air,BTS_AIRLINE_ID_21631
AIRLINE_ID_21635,21635,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,LF,CFM Inc d/b/a Contour Airlines,BTS_AIRLINE_ID_21635
AIRLINE_ID_21635,21635,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,01189,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle,BTS_AIRLINE_ID_21635
AIRLINE_ID_21638,21638,AD,Azul Linhas Aereas Brazileiras S A,71145,AD,Azul Linhas Aereas Brazileiras S A,BTS_AIRLINE_ID_21638
AIRLINE_ID_21645,21645,23Q,Songbird Airways Inc.,01192,23Q,Sky King Inc.,BTS_AIRLINE_ID_21645
AIRLINE_ID_21645,21645,23Q,Songbird Airways Inc.,01192,23Q,Songbird Airways Inc.,BTS_AIRLINE_ID_21645
AIRLINE_ID_21645,21645,23Q,Songbird Airways Inc.,11044,23Q,Songbird Airways Inc.,BTS_AIRLINE_ID_21645
AIRLINE_ID_21646,21646,24Q,Jet Story,71146,24Q,Jet Story,BTS_AIRLINE_ID_21646
AIRLINE_ID_21650,21650,EE,Eastern Airlines Group Inc.,01193,EE,Eastern Airlines Group Inc.,BTS_AIRLINE_ID_21650
AIRLINE_ID_21650,21650,EE,Eastern Airlines Group Inc.,11045,EE,Eastern Airlines Group Inc.,BTS_AIRLINE_ID_21650
AIRLINE_ID_21651,21651,26Q,Albinati aviation Limited,71149,26Q,Albinati aviation Limited,BTS_AIRLINE_ID_21651
AIRLINE_ID_21652,21652,27Q,"Jet Aviation Flight Services, Inc.",01194,27Q,"Jet Aviation Flight Services, Inc.",BTS_AIRLINE_ID_21652
AIRLINE_ID_21652,21652,27Q,"Jet Aviation Flight Services, Inc.",11046,27Q,"Jet Aviation Flight Services, Inc.",BTS_AIRLINE_ID_21652
AIRLINE_ID_21656,21656,2AQ,ABS JETS A.S,71150,2AQ,ABS JETS A.S,BTS_AIRLINE_ID_21656
AIRLINE_ID_21693,21693,2GQ,Cavok Air LLC,71165,2GQ,Cavok Air LLC,BTS_AIRLINE_ID_21693
AIRLINE_ID_21694,21694,7L,Silk Way West Airlines,71166,7L,Silk Way West Airlines,BTS_AIRLINE_ID_21694
AIRLINE_ID_21718,21718,XE,Delux Public Charters d/b/a JSX,01202,2JQ,Delux Public Charter LLC,BTS_AIRLINE_ID_21718
AIRLINE_ID_21718,21718,XE,Delux Public Charters d/b/a JSX,01202,XE,Delux Public Charters d/b/a JSX,BTS_AIRLINE_ID_21718
AIRLINE_ID_21735,21735,2KQ,Longtail Aviation Ltd.,71172,2KQ,Longtail Aviation Ltd.,BTS_AIRLINE_ID_21735
AIRLINE_ID_21743,21743,TI,Tropic Ocean Airways LLC,01203,2LQ,Tropic Ocean Airways LLC,BTS_AIRLINE_ID_21743
AIRLINE_ID_21760,21760,2RQ,Luxaviation S A,71176,2RQ,Luxaviation S A,BTS_AIRLINE_ID_21760
AIRLINE_ID_21780,21780,P3 (1),Cargologicair Limited,71181,P3,Cargologicair Limited,BTS_AIRLINE_ID_21780
AIRLINE_ID_21814,21814,2UQ,Svenskt Industriflyg AB,71184,2UQ,Svenskt Industriflyg AB,BTS_AIRLINE_ID_21814
AIRLINE_ID_21869,21869,36Q,Air Hamburg Luftverkehrsgesellschaft mbH,71190,36Q,Air Hamburg Luftverkehrsgesellschaft mbH,BTS_AIRLINE_ID_21869
AIRLINE_ID_21875,21875,37Q,"Eastern Air Express, LLC (EAX)",11053,37Q,"Eastern Air Express, LLC (EAX)",BTS_AIRLINE_ID_21875
AIRLINE_ID_21875,21875,37Q,"Eastern Air Express, LLC (EAX)",11053,37Q,"Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",BTS_AIRLINE_ID_21875
AIRLINE_ID_21894,21894,AN,"ADVANCED AIR, LLC",01229,AN,"ADVANCED AIR, LLC",BTS_AIRLINE_ID_21894
AIRLINE_ID_21919,21919,FYQ,Flying Group Lux S.A.,71193,FYQ,Flying Group Lux S.A.,BTS_AIRLINE_ID_21919
AIRLINE_ID_21954,21954,GCQ,Glock Aviation GmbH,71198,GCQ,Glock Aviation GmbH,BTS_AIRLINE_ID_21954
AIRLINE_ID_21974,21974,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",01234,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",BTS_AIRLINE_ID_21974
AIRLINE_ID_21974,21974,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",11055,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",BTS_AIRLINE_ID_21974
AIRLINE_ID_21979,21979,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",01235,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",BTS_AIRLINE_ID_21979
AIRLINE_ID_21979,21979,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",11057,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge",BTS_AIRLINE_ID_21979
AIRLINE_ID_21995,21995,LXQ,Luxaviation Germany GmbH,71203,LXQ,Luxaviation Germany GmbH,BTS_AIRLINE_ID_21995
AIRLINE_ID_22010,22010,IFQ,FAI rent-a-jet AG,71208,IFQ,FAI rent-a-jet AG,BTS_AIRLINE_ID_22010
